Player Name,Profile URL,Player Region
"Karra
FLY.R",https://www.vlr.gg/player/14868/karra,na
hemmer,https://www.vlr.gg/player/31804/hemmer,na
"svL
BTR",https://www.vlr.gg/player/3680/svl,na
"mitch
OXG",https://www.vlr.gg/player/612/mitch,na
"PureVNS
OR",https://www.vlr.gg/player/6572/purevns,na
"GLYPH
IL",https://www.vlr.gg/player/8286/glyph,na
"1Frog1
The",https://www.vlr.gg/player/29378/1frog1,na
"RetrQ
Burg",https://www.vlr.gg/player/893/retrq,na
"Critical
WU",https://www.vlr.gg/player/1592/critical,na
"Nanners
LS",https://www.vlr.gg/player/2125/nanners,na
"Rythm
MAD.SC",https://www.vlr.gg/player/11082/rythm,na
"ardiis
NAVI",https://www.vlr.gg/player/98/ardiis,na
"tech
MAD.SC",https://www.vlr.gg/player/8403/tech,na
"k3ni
SEN",https://www.vlr.gg/player/34050/k3ni,na
"Link
Elys",https://www.vlr.gg/player/14632/link,na
"avery
FLOP",https://www.vlr.gg/player/17950/avery,na
"stellar
DZ",https://www.vlr.gg/player/733/stellar,na
azrex,https://www.vlr.gg/player/19290/azrex,na
"aproto
TSM",https://www.vlr.gg/player/740/aproto,na
"dawn
Inde",https://www.vlr.gg/player/3706/dawn,na
"Australis
SaD",https://www.vlr.gg/player/15039/australis,na
creeperonthabeat,https://www.vlr.gg/player/19020/creeperonthabeat,na
"Jan
TMX",https://www.vlr.gg/player/11969/jan,na
"tylerboy
TR",https://www.vlr.gg/player/18168/tylerboy,na
"Blahst
FCN",https://www.vlr.gg/player/5035/blahst,na
"DENYA
PUGS",https://www.vlr.gg/player/3232/denya,na
"daps
NRG",https://www.vlr.gg/player/4011/daps,na
"Cohburg
SAD",https://www.vlr.gg/player/16757/cohburg,na
"nerve
QOR",https://www.vlr.gg/player/754/nerve,na
"itnothan
FLY.R",https://www.vlr.gg/player/11947/itnothan,na
Jsung,https://www.vlr.gg/player/47842/jsung,na
"novacaine
Six",https://www.vlr.gg/player/8949/novacaine,na
"showliana
KRÜ.B",https://www.vlr.gg/player/663/showliana,na
"supamen
EG",https://www.vlr.gg/player/826/supamen,na
"jakee
YFP",https://www.vlr.gg/player/8742/jakee,na
"Katashio
CVU.NBG",https://www.vlr.gg/player/24550/katashio,na
RETRAC,https://www.vlr.gg/player/24566/retrac,na
"light
TLP",https://www.vlr.gg/player/27854/light,na
"Neat
AOE",https://www.vlr.gg/player/24203/neat,na
